objectid,format,filename,title,description,latitude,longitude,source,identifier,type,language,rights,rightsstatement,youtubeid,vimeoid,creator,date,subject,location
coll001,image/jpeg,test001.jpg,Folli Follie S.N.C.,,45.136905670166016,10.01669979095459,,,,,,,,,,,,
coll002,image/jpeg,test002.jpg,Damiano ,con la madera cortada,45.13694763183594,10.016724586486816,,,,,,,,,,,,
